_id,store,price,Date_first_listed_on_Amazon,item_link,reviews_link,reviews,store_link,item_name,img_src,Rank,Read reviews that mention,star
5c6e605040bf07349439cc8b,ADOME,$2.99 - $16.49,2018/3/16,https://www.amazon.com/ADOME-Lingerie-Bodysuit-Babydoll-Nightwear/dp/B07BHN89W1/ref=zg_bs_1044968_76/144-8595119-8015611?_encoding=UTF8&refRID=YEHXZXVJ7W6CSZDS17AX,https://www.amazon.com/ADOME-Lingerie-Bodysuit-Babydoll-Nightwear/product-reviews/B07BHN89W1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,55 ,https://www.amazon.com/s/ref=w_bl_sl_s_ap_web_7141123011?ie=UTF8&node=7141123011&field-brandtextbin=ADOME,ADOME Women Lingerie Bodysuit V Neck Teddy Lace Babydoll Satin Pajamas Nightwear,"https://images-na.ssl-images-amazon.com/images/I/71gTQlO5lDL._AC_UL200_SR200,200_.jpg",76,,4.2 
5c6e605340bf07349439cc8c,Avidlove,$4.99 - $17.99,2017/9/15,https://www.amazon.com/Avidlove-Lingerie-Babydoll-Bodysuit-Nightwear/dp/B075NVW4S2/ref=zg_bs_1044968_77/144-8595119-8015611?_encoding=UTF8&refRID=YEHXZXVJ7W6CSZDS17AX,https://www.amazon.com/Avidlove-Lingerie-Babydoll-Bodysuit-Nightwear/product-reviews/B075NVW4S2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,65 ,https://www.amazon.com/Avidlove/b/ref=w_bl_sl_ap_ap_web_11371148011?ie=UTF8&node=11371148011&field-lbr_brands_browse-bin=Avidlove,Avidlove Sexy Lingerie for Women Lace Teddy Babydoll Bodysuit Nightwear Outfit,"https://images-na.ssl-images-amazon.com/images/I/71ILW3Zmo-L._AC_UL200_SR200,200_.jpg",77,,4.1 
5c6e605d40bf07349439cc8d,TGD,$9.99 - $18.99,2018/5/31,https://www.amazon.com/TGD-Womens-Lingerie-Kimono-Nightgown/dp/B07DFR574R/ref=zg_bs_1044968_78/144-8595119-8015611?_encoding=UTF8&refRID=YEHXZXVJ7W6CSZDS17AX,https://www.amazon.com/TGD-Womens-Lingerie-Kimono-Nightgown/product-reviews/B07DFR574R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,42 ,https://www.amazon.com/TGD/b/ref=w_bl_sl_ap_ap_web_9267948011?ie=UTF8&node=9267948011&field-lbr_brands_browse-bin=TGD,TGD Womens Lingerie Lace Plus Size Kimono Robe Mesh Nightgown Dress Sets,"https://images-na.ssl-images-amazon.com/images/I/916beF17SiL._AC_UL200_SR200,200_.jpg",78,,4.2 
5c6e606440bf07349439cc8e,LALAVAVA,$9.99 - $15.99,2018/11/16,https://www.amazon.com/LALAVAVA-Lingerie-Women-Babydolls-Sleepwear/dp/B07KLZR9GY/ref=zg_bs_1044968_79/144-8595119-8015611?_encoding=UTF8&refRID=YEHXZXVJ7W6CSZDS17AX,https://www.amazon.com/LALAVAVA-Lingerie-Women-Babydolls-Sleepwear/product-reviews/B07KLZR9GY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,13 ,https://www.amazon.com/LALAVAVA/b/ref=w_bl_sl_ap_ap_web_18250799011?ie=UTF8&node=18250799011&field-lbr_brands_browse-bin=LALAVAVA,LALAVAVA Sexy Lingerie for Women Lace Mesh Babydolls V Neck Strap Back Sleepwear,"https://images-na.ssl-images-amazon.com/images/I/71Opfri4iPL._AC_UL200_SR200,200_.jpg",79,,4.9 
5c6e606740bf07349439cc8f,TGD,$6.99 - $13.99,2018/9/18,https://www.amazon.com/TGD-Lingerie-Babydoll-Women-Chemise/dp/B07HGLY3BJ/ref=zg_bs_1044968_80/144-8595119-8015611?_encoding=UTF8&refRID=YEHXZXVJ7W6CSZDS17AX,https://www.amazon.com/TGD-Lingerie-Babydoll-Women-Chemise/product-reviews/B07HGLY3BJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,57 ,https://www.amazon.com/TGD/b/ref=w_bl_sl_ap_ap_web_9267948011?ie=UTF8&node=9267948011&field-lbr_brands_browse-bin=TGD,TGD Lingerie Plus Size Babydoll Set for Women V Neck Lace Chemise,"https://images-na.ssl-images-amazon.com/images/I/71rcDIA0HvL._AC_UL200_SR200,200_.jpg",80,,3.9 
5c6e607540bf07349439cc90,Aranmei,$6.99 - $15.99,2017/11/20,https://www.amazon.com/Aranmei-Floral-Bodysuit-Sleeve-Lingerie/dp/B077MGCDHV/ref=zg_bs_1044968_81/144-8595119-8015611?_encoding=UTF8&refRID=YEHXZXVJ7W6CSZDS17AX,https://www.amazon.com/Aranmei-Floral-Bodysuit-Sleeve-Lingerie/product-reviews/B077MGCDHV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,56 ,https://www.amazon.com/Aranmei/b/ref=w_bl_sl_ap_ap_web_18201372011?ie=UTF8&node=18201372011&field-lbr_brands_browse-bin=Aranmei,Aranmei Women Sexy Sheer Floral Lace Bodysuit Long Sleeve Teddy Lingerie,"https://images-na.ssl-images-amazon.com/images/I/71SnbuKjj2L._AC_UL200_SR200,200_.jpg",81,,4.1 
5c6e607f40bf07349439cc91,ADOME,$4.99 - $14.99,2017/9/12,https://www.amazon.com/ADOME-Lingerie-Christmas-Babydoll-Sleepwear/dp/B075LBFH1M/ref=zg_bs_1044968_82/144-8595119-8015611?_encoding=UTF8&refRID=YEHXZXVJ7W6CSZDS17AX,https://www.amazon.com/ADOME-Lingerie-Bodysuit-Backless-Babydoll/product-reviews/B075LBFH1M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,233 ,https://www.amazon.com/s/ref=w_bl_sl_s_ap_web_7141123011?ie=UTF8&node=7141123011&field-brandtextbin=ADOME,ADOME Women One Piece Lingerie Lace Teddy Bodysuit Backless Halter Babydoll,"https://images-na.ssl-images-amazon.com/images/I/81n%2BcLkVExL._AC_UL200_SR200,200_.jpg",82,,4.3 
5c6e609440bf07349439cc92,Avidlove,$1.99 - $16.55,2017/9/15,https://www.amazon.com/Avidlove-Sleepwear-Nightgown-Babydoll-Nightdress/dp/B075NXXQSS/ref=zg_bs_1044968_83/144-8595119-8015611?_encoding=UTF8&refRID=YEHXZXVJ7W6CSZDS17AX,https://www.amazon.com/Avidlove-Sleepwear-Nightgown-Babydoll-Nightdress/product-reviews/B075NXXQSS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,69 ,https://www.amazon.com/Avidlove/b/ref=w_bl_sl_ap_ap_web_11371148011?ie=UTF8&node=11371148011&field-lbr_brands_browse-bin=Avidlove,Avidlove Sexy Sleepwear Womens Chemise Nightgown Lace Babydoll Nightdress Sleep Cami Dress,"https://images-na.ssl-images-amazon.com/images/I/71gdy33fGLL._AC_UL200_SR200,200_.jpg",83,,4.4 
5c6e60ac40bf07349439cc93,Avidlove,$8.99 - $13.99,2017/5/19,https://www.amazon.com/Avidlove-Lingeries-Babydoll-Hollow-Outfits/dp/B0711VV7W1/ref=zg_bs_1044968_84/144-8595119-8015611?_encoding=UTF8&refRID=YEHXZXVJ7W6CSZDS17AX,https://www.amazon.com/Avidlove-Lingeries-Babydoll-Hollow-Outfits/product-reviews/B0711VV7W1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,144 ,https://www.amazon.com/Avidlove/b/ref=w_bl_sl_ap_ap_web_11371148011?ie=UTF8&node=11371148011&field-lbr_brands_browse-bin=Avidlove,Avidlove Women Sexy Lingeries One Piece Babydoll Hollow Out Deep V Neck Lace Outfits,"https://images-na.ssl-images-amazon.com/images/I/71pBk71Bi1L._AC_UL200_SR200,200_.jpg",84,"['little big', 'like the picture', 'true to size', 'looks like', 'fits like', 'ordered a small', 'fit perfectly', 'size fit', 'sexy', 'body', 'lace', 'straps', 'support', 'fabric', 'lingerie', 'loose', 'stretchy', 'chest', 'fantastic', 'flattering']",4.1 
5c6e60bc40bf07349439cc94,wearella,$3.99 - $17.98,2018/9/3,https://www.amazon.com/wearella-Lingerie-Strappy-Babydoll-Bodysuit/dp/B07H2CVSLC/ref=zg_bs_1044968_85/144-8595119-8015611?_encoding=UTF8&refRID=YEHXZXVJ7W6CSZDS17AX,https://www.amazon.com/wearella-Lingerie-Strappy-Babydoll-Bodysuit/product-reviews/B07H2CVSLC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,13 ,https://www.amazon.com/s/ref=w_bl_sl_s_ap_web_7141123011?ie=UTF8&node=7141123011&field-brandtextbin=wearella,wearella Women Sexy Lingerie Strappy Babydoll Bodysuit Bra Panty Set with Garter Belts,"https://images-na.ssl-images-amazon.com/images/I/719fFQ8byBL._AC_UL200_SR200,200_.jpg",85,,4.1 
